source,target,regex,code,type,hits,title,status
"/ESC President Discusses Emerging Safety Trends","https://www.esc.org/about/newsroom/esc-president-discusses-emerging-safety-trends/",0,301,"url",0,"","active"
"/Now Offering Online Forklift Certification Training","https://www.esc.org/about/newsroom/forklift/",0,301,"url",0,"","active"
"/Rick Gleason and Todd Williams","https://www.esc.org/about/newsroom/gleason-and-williams-retire-from-evergreen-safety-councils-board-of-directors/",0,301,"url",0,"","active"
"/Scholarship for Safety Health Careers","https://www.esc.org/about/newsroom/scholarship-for-safety-health-careers/",0,301,"url",0,"","active"
"/Now Offering Online Pilot Car Certification Training","https://www.esc.org/about/newsroom/washington-pilot-car/",0,301,"url",0,"","active"
"/Notifications","https://www.esc.org/about/notifications/",0,301,"url",0,"","active"
"/Work With Us","https://www.esc.org/about/openings/",0,301,"url",0,"","active"
"/5 Steps to Preventing Bridge Hits","https://www.esc.org/about/related-article/5-steps-to-preventing-bridge-hits/",0,301,"url",0,"","active"
"/Breathing outside the box","https://www.esc.org/about/related-article/breathing-outside-the-box/",0,301,"url",0,"","active"
"/Pilot/Escort Vehicle Operator Certification","https://www.esc.org/about/related-article/certification/",0,301,"url",0,"","active"
"/Circular logic: How to navigate a roundabout","https://www.esc.org/about/related-article/circular-logic/",0,301,"url",0,"","active"
"/April is Distracted Driving Awareness Month","https://www.esc.org/about/related-article/distracted-driving-awareness-month/",0,301,"url",0,"","active"
"/Eversafe course guide (ATP Use)","https://www.esc.org/about/related-article/esc-eversafe-online-atp/",0,301,"url",0,"","active"
"/Eversafe course guide (ESC Branch Use)","https://www.esc.org/about/related-article/esc-eversafe-online/",0,301,"url",0,"","active"
"/Forklift course guide (ATP Use)","https://www.esc.org/about/related-article/esc-forklift-online-atp/",0,301,"url",0,"","active"
"/Forklift course guide (ESC Branch Use)","https://www.esc.org/about/related-article/esc-forklift-online/",0,301,"url",0,"","active"
"/How to access your online WITPAC course (ESC Use)","https://www.esc.org/about/related-article/esc-witpac-online/",0,301,"url",0,"","active"
